Gene,Average,Std_Dev
SSBP3-AS1,"7,28298057249321","0,12062189690811813"
ACOT11,"8,181643262245418","0,13013799753140715"
MROH7-TTC4,"8,227056038484166","0,16174267418956711"
TTC4,"7,793119749644136","0,08568378001428012"
TMEM61,"7,284628836052349","0,12345654623906295"
BSND,"6,248151786955078","0,08807452209031005"
PCSK9,"7,474107458662951","0,09217617792014435"
PRKAA2,"9,484488188094499","0,28145073351594524"
FGGY,"7,794562659433711","0,1195643685251705"
HOOK1,"7,913078283585331","0,2965203462159933"
NFIA,"10,68561634798365","0,21791421406652917"
MGC34796,"6,699577846973678","0,09174193601732512"
PATJ,"8,315881283718966","0,127487996876586"
LAMTOR5P1,"7,232277572540042","0,10429283080852972"
USP1,"7,680234560998394","0,13231890266135093"
ATG4C,"8,936279457150304","0,16957236182497548"
FOXD3,"6,871923542376494","0,10352208456390041"
ALG6,"6,979540258145411","0,1379915248728943"
EFCAB7,"8,415756267620463","0,14713477002912131"
PGM1,"8,907841922416937","0,08814470534361869"
ROR1,"7,808400791473114","0,09496767442588713"
CACHD1,"9,543436346746542","0,22806624217717592"
RAVER2,"8,952962871340825","0,23304953892488586"
AK4,"8,33256702626827","0,12210795718586624"
DNAJC6,"11,231226457119726","0,13654481699668317"
LEPR,"9,066086657161247","0,27553383050566216"
PDE4B,"9,15707844866691","0,1471668318567849"
SGIP1,"10,749594191586262","0,15180080742907162"
DYNLT5,"7,292908484742571","0,19824229256819578"
MIER1,"8,856004153429295","0,10250690581147805"
IL12RB2,"7,986213181875655","0,305639941280582"
GADD45A,"7,978081812735275","0,3616556859747091"
LRRC7,"10,938772045427253","0,1894212625242283"
PIN1P1,"8,926500529922079","0,10941739262637422"
SRSF11,"11,515826795065061","0,12033646861580487"
HHLA3,"8,642839911788418","0,19691418147030318"
CTH,"7,47474038777577","0,2519179603791161"
FPGT-TNNI3K,"7,989364677277485","0,1524488243999754"
TNNI3K,"6,467943235375683","0,23471140303294763"
TYW3,"8,739416332130627","0,16049152848370316"
ACADM,"9,948034804449279","0,10740327899480605"
RABGGTB,"8,437362785092896","0,17059497647946847"
SNORD45C,"5,911899887166799","0,20779344421530216"
SNORD45A,"10,6351997840584","0,32857241424286077"
SNORD45B,"8,029776475023318","0,6631184391549702"
ST6GALNAC3,"8,047847062492018","0,1483253755524298"
ST6GALNAC5,"9,900428135480778","0,28982230310628493"
AK5,"12,091046525114326","0,16846368193752093"
MIGA1,"9,52521378506438","0,16960836078125544"
NEXN,"6,006374070059657","0,21934975944202273"
DNAJB4,"9,294116933630113","0,20690344387574872"
GIPC2,"6,088647566627657","0,10694330199818193"
PTGFR,"6,525696358455274","0,19781173343168512"
IFI44L,"8,2284221783437","0,6634336844729836"
IFI44,"6,886952852532839","0,4125741431997015"
ADGRL2,"10,285020432556594","0,31590189986759626"
ARID3B,"7,683142742054741","0,08976296887516072"
PRKACB,"11,80863051448716","0,14200064757238667"
NEDD8P1,"7,290621110899834","0,11900118231661018"
RPF1,"8,533013363675714","0,09577444511757002"
DNAI3,"6,132263752616289","0,2729672780094286"
CCN1,"8,092970264037513","0,35382191705844507"
CLCA4,"6,4350958652323715","0,4113883831785367"
SH3GLB1,"9,31391569217753","0,1315720819032665"
HS2ST1,"8,791258318297857","0,12365721079578817"
LINC01140,"7,373402804406023","0,2121282423237947"
LMO4,"9,104351142078247","0,30882002547048215"
PKN2,"9,415572333981785","0,15367514480549183"
LRRC8B,"10,294129528598628","0,1941684900904067"
LRRC8C,"9,040593322243536","0,08149019330552056"
LRRC8D,"9,558109658318392","0,12122735877287594"
ZNF326,"8,686330838509598","0,14993559513422322"
SNORD3G,"7,639702229573021","0,1351969022456178"
CDC7,"7,112365433542295","0,19710694504639129"
EPHX4,"8,356112488386305","0,45720682673488"
BTBD8,"7,105720326153712","0,15737869183701617"
RPAP2,"9,209795589500759","0,0994158628859557"
SNORA66,"8,547755607602232","0,07954892809756867"
SNORD21,"6,259254074198481","0,22874375012003148"
MTF2,"8,722277930020004","0,1379550073187049"
FNBP1L,"9,010519906514189","0,19237809407436274"
ABCD3,"8,848213297945737","0,10743722954308334"
SLC44A3,"8,064402437324926","0,2895471227400698"
TLCD4,"9,55536239316082","0,2358207220216664"
TLCD4-RWDD3,"7,169642112009791","0,11316360220625922"
PTBP2,"10,35198117050179","0,1215436277878114"
SNX7,"7,239594071930262","0,13741229980251213"
PLPPR4,"11,46456556505552","0,37824560947663644"
PALMD,"8,25255808727079","0,363382894110423"
AGL,"8,433617653318727","0,16771136298389377"
SLC35A3,"7,702405064027359","0,14209068747996656"
MFSD14A,"10,167220337905977","0,1174882699072872"
TRMT13,"8,154668350131018","0,14130457179798922"
RTCA,"9,399867433551325","0,11303455547848083"
CDC14A,"8,512161613077062","0,26334526913999157"
GPR88,"9,002098953892528","0,16527072704761772"
VCAM1,"7,160323384339723","0,4650402369681284"
SLC30A7,"9,254443116843934","0,1593790186770583"
S1PR1,"8,331273617497752","0,16154077917933138"
RNPC3,"11,231942698155246","0,21124974787829878"
AMY2B,"9,468066651430881","0,18529195524131095"
AMY1C,"9,51408500458145","0,16235747724063954"
AMY1A,"8,898280578956294","0,16011743920347737"
PRMT6,"7,358570480138279","0,13507413050072528"
NTNG1,"8,534616636316905","0,27580612655191356"
NDUFA4,"9,417519421399854","0,14145401526508009"
NBPF4,"6,671424311931023","0,08850256218508426"
FAM102B,"9,044747396976602","0,3156671506994405"
PRPF38B,"8,403859631023373","0,1290866216876544"
STXBP3,"8,88734305421621","0,1798266260598121"
GPSM2,"8,963960154774627","0,18242743633488093"
TMEM167B,"10,410176449434736","0,10211743428838126"
ELAPOR1,"9,979588395000189","0,16724656384443845"
SARS1,"10,590669389628621","0,09894237169335798"
CELSR2,"10,362520627400988","0,13671295003732087"
ATXN7L2,"7,685551380399873","0,09271285208794228"
CYB561D1,"8,124805476052162","0,0823298827183681"
GPR61,"7,9062843602034665","0,10396626665236064"
GNAI3,"8,361583983867357","0,1389955642764275"
MIR197,"8,08667652801754","0,12443855253738509"
AMPD2,"8,560168423073021","0,13084079890617936"
GSTM4,"9,793479117031803","0,24369088205464898"
GSTM2,"9,528057846056914","0,2256658526292969"
GSTM1,"9,452277790938574","0,7448068189438075"
GSTM5,"9,102605805865895","0,7145071328982403"
CSF1,"8,860695130423844","0,2757615689589177"
AHCYL1,"11,709546467541452","0,25775172904019455"
UBL4B,"6,495788745465832","0,11778991057020928"
SLC6A17,"10,03939889212284","0,3488521611585929"
KCNC4,"9,09654066091124","0,12848140402134633"
PROK1,"7,004462873744687","0,09933016139217543"
CD53,"9,397724015422664","0,5339580779879589"
CEPT1,"9,416936870567904","0,12130277840583199"
CHI3L2,"7,157022794670666","0,8824663687816928"
CHIA,"6,074446424524176","0,08636252334968714"
PIFO,"7,523523427885999","0,2637387628476681"
ATP5PB,"7,563348024388943","0,12448622613868023"
C1orf162,"9,031578879322876","0,5699359682750244"
RAP1A,"9,021715888208467","0,15560804385436058"
DDX20,"7,898904697147219","0,16582341929424013"
CTTNBP2NL,"9,085674981437984","0,12495737380676038"
WNT2B,"8,06683180969881","0,1626387869652874"
CAPZA1,"8,96652037607651","0,08827958438469881"
MOV10,"8,39156268011784","0,17180597412907772"
TAFA3,"7,347380238789588","0,1711401822818052"
LRIG2,"8,585682764667622","0,10631258237311363"
MAGI3,"9,211881973843216","0,20061894244450051"
DCLRE1B,"7,133048941412315","0,16599892309197586"
HIPK1,"10,77876273222665","0,09734552946838222"
OLFML3,"7,630396756765463","0,3991851128393986"
VANGL1,"6,563317584328152","0,09831528537914064"
SLC22A15,"8,749371618278289","0,14640376688111054"
MAB21L3,"6,052971813046285","0,12259420773748501"
ATP1A1,"12,351342538561793","0,2360061365245967"
CD2,"6,465435682934078","0,08387861976394877"
PTGFRN,"8,257578605752595","0,20586047180750633"
CD101,"6,510171765012694","0,14666688861329136"
TTF2,"7,166279625431058","0,18958956945217142"
MAN1A2,"10,23082454003515","0,12317437364149474"
TENT5C,"6,890828237759291","0,15624770304716967"
WDR3,"7,234201336159226","0,148765183612939"
HAO2,"6,001624724201851","0,10221067034216767"
HSD3B1,"6,01775446960741","0,0818791584365772"
HSD3BP4,"6,979401411878443","0,26989294296604605"
PHGDH,"9,607752170886188","0,28615958245261597"
FAM72D,"6,6296479273817","0,1480061118382834"
H3P4,"9,4813734532938","0,12002692869057423"
H2BP2,"10,03273262728563","0,19879667125844955"
SRGAP2,"10,615880490523246","0,1630179244182429"
NBPF15,"11,953994862886562","0,15623660893220714"
NBPF25P,"10,37281443591459","0,1951156750271184"
SEC22B3P,"9,887967748904364","0,08876330155550191"
NOTCH2,"10,750405991175539","0,257275098370745"
RNVU1-6,"7,209331113067745","0,18562700467249962"
HJV,"6,624074806716589","0,13036720546695016"
TXNIP,"11,473443265977078","0,6018774064761886"
ANKRD34A,"7,636423232283076","0,14905988747086626"
LIX1L,"9,041870994824023","0,13246544356936696"
RBM8A,"7,5979014388252395","0,1740986971182289"
PEX11B,"10,578655339789181","0,16764221849351205"
ITGA10,"6,855403405429996","0,12904218841902493"
PIAS3,"8,616477918657798","0,09473253498364777"
RNF115,"9,745876997295044","0,09375843950886535"
GPR89A,"8,106757137921232","0,13889587850067933"
ABHD17A,"10,150431645063511","0,09805014893123379"
NBPF11,"12,132958077124643","0,1441083018192699"
PDIA3P1,"9,85860560862523","0,1354929277137419"
CHD1L,"7,696143088041419","0,09554763476281793"
BCL9,"9,235848484144261","0,08123184813035987"
GJA8,"6,455737176622266","0,13898365365930943"
GPR89B,"8,980841844334732","0,11925947988861425"
RNVU1-14,"7,516119976230146","0,24195492390305998"
VOPP1,"9,584287346296229","0,12261921022862576"
LOC105371215,"7,4784719193143605","0,09596050954322487"
DRD5,"7,718381244495817","0,14074326590032907"
LOC101060524,"8,101328037737202","0,30799297757177124"
LOC107985911,"9,210149405619653","0,10177552325364306"
FCGR1A,"8,663306753816613","0,8379191033281793"
PPIAL4D,"7,374922249896087","0,08398549938559942"
FCGR1BP,"8,508928341737503","0,7467854620033287"
H4C15,"7,6258269977882716","0,28936770482831115"
H2BC19P,"6,746688765141724","0,31066993437961293"
H2AC19,"9,005864254763239","0,3311484864836706"
H3C15,"8,177069587409491","0,12172542681459264"
H2AC20,"8,819970494816488","0,24614015545960424"
BOLA1,"7,895317012723954","0,09073081944414649"
VPS45,"10,359487509942054","0,08321565465134599"
PLEKHO1,"8,161745818666581","0,10581796351472285"
CA14,"6,609580960644712","0,20788699965539742"
SNORD13C,"5,908324249666122","0,1332655376247752"
C1orf54,"6,66553523559112","0,24978092339129446"
CIART,"8,136378867705316","0,1621641909782937"
MRPS21,"11,388234961208664","0,13325009853683015"
PRPF3,"8,56401078727455","0,13512054495877884"
TARS2,"8,203095716349324","0,09075199128948017"
ECM1,"7,838842901918242","0,17537990407516496"
ADAMTSL4,"7,28940607578089","0,10818744490129378"
SETDB1,"8,42122979976241","0,1167071024561067"
ANXA9,"7,212250897156895","0,09725107888531105"
PRUNE1,"8,47017280921038","0,11270998937909685"
BNIPL,"6,51593122040453","0,08890807586429227"
C1orf56,"8,20557232749409","0,10760555841642276"
MLLT11,"12,542585003702383","0,23795314974286222"
